Row ID,Order ID,Order Date,Ship Mode,Segment,Region,Category,Sales,Quantity,Discount,Profit
1,CA-2026-100000,2024-01-01,First Class,Corporate,South,Office Supplies,50.14195567259533,9,0.5,
2,CA-2026-100001,2024-01-02,Same Day,Home Office,West,Furniture,128.52177155829816,12,0.0,185.3617268492285
3,CA-2026-100002,2024-01-03,Standard Class,Consumer,West,Technology,332.2040197851522,12,0.2,33.988723283912734
4,CA-2026-100003,2024-01-04,First Class,Consumer,West,Technology,539.816052987898,2,0.0,119.61182149111289
5,CA-2026-100004,2024-01-05,First Class,Consumer,East,Office Supplies,282.8810763389984,13,0.2,
6,CA-2026-100005,2024-01-06,Same Day,Consumer,South,Furniture,79.6598898234389,8,0.0,35.77614392937695
7,CA-2026-100006,2024-01-07,Standard Class,Consumer,West,Furniture,285.68105440130927,9,0.0,-89.73683189710665
8,CA-2026-100007,2024-01-08,Standard Class,Consumer,South,Furniture,93.00275961278963,4,0.0,-127.69249275319015
9,CA-2026-100008,2024-01-09,First Class,Consumer,East,Office Supplies,321.84286478948985,8,0.0,-53.93714074590363
10,CA-2026-100009,2024-01-10,Second Class,Corporate,West,Furniture,774.9585767071331,9,0.8,139.18993344135728
11,CA-2026-100010,2024-01-11,First Class,Home Office,Central,Office Supplies,324.4886778685997,10,0.8,115.00158286696457
12,CA-2026-100011,2024-01-12,First Class,Consumer,East,Office Supplies,501.72562295508675,10,0.0,44.30047220543997
13,CA-2026-100012,2024-01-13,First Class,Corporate,Central,Office Supplies,5.526514840705795,5,0.4,-133.27005598899308
14,CA-2026-100013,2024-01-14,First Class,Corporate,South,Technology,321.08301744422056,13,0.0,0.37193486120632
15,CA-2026-100014,2024-01-15,Same Day,Home Office,South,Furniture,447.38341104043093,14,0.2,50.170000890173554
16,CA-2026-100015,2024-01-16,Standard Class,Consumer,East,Furniture,15.35104555858723,7,0.5,37.55362295785979
17,CA-2026-100016,2024-01-17,Same Day,Home Office,South,Office Supplies,518.1467969088746,10,0.7,-164.37935834807456
18,CA-2026-100017,2024-01-18,Same Day,Consumer,Central,Office Supplies,79.16194558187816,4,0.0,
19,CA-2026-100018,2024-01-19,Same Day,Corporate,West,Furniture,278.62426843160824,1,0.4,13.592223585128338
20,CA-2026-100019,2024-01-20,First Class,Corporate,West,Office Supplies,407.8034709137114,3,0.0,73.629090951719
21,CA-2026-100020,2024-01-21,Second Class,Corporate,West,Furniture,276.6693334029545,5,0.8,-199.61278210999464
22,CA-2026-100021,2024-01-22,Standard Class,Corporate,East,Technology,29.206149309082523,3,0.0,
23,CA-2026-100022,2024-01-23,Second Class,Home Office,South,Office Supplies,231.78413915801528,12,0.2,34.304876987895234
24,CA-2026-100023,2024-01-24,Same Day,Consumer,Central,Furniture,204.3957291685234,13,0.2,104.9611988516213
25,CA-2026-100024,2024-01-25,Same Day,Consumer,South,Office Supplies,581.450736368818,11,0.2,89.28575842374367
26,CA-2026-100025,2024-01-26,Second Class,Home Office,South,Furniture,134.47923094500328,7,0.0,
27,CA-2026-100026,2024-01-27,Second Class,Consumer,South,Furniture,194.77511898430527,12,0.7,-59.99405067019342
28,CA-2026-100027,2024-01-28,Second Class,Corporate,West,Office Supplies,351.4243992412275,9,0.0,-170.80021371233076
29,CA-2026-100028,2024-01-29,Same Day,Consumer,Central,Technology,138.04437621953196,12,0.2,
30,CA-2026-100029,2024-01-30,Same Day,Corporate,Central,Furniture,264.6825208913852,6,0.0,120.16318252085601
31,CA-2026-100030,2024-01-31,Standard Class,Home Office,South,Furniture,264.9326539613118,13,0.0,159.34545275244315
32,CA-2026-100031,2024-02-01,Standard Class,Consumer,West,Furniture,552.401314364418,10,0.2,91.05491022977853
33,CA-2026-100032,2024-02-02,Same Day,Home Office,West,Technology,233.2567673043528,1,0.0,62.934082280173435
34,CA-2026-100033,2024-02-03,Second Class,Consumer,Central,Technology,179.36592581951322,7,0.0,
35,CA-2026-100034,2024-02-04,Second Class,Corporate,West,Office Supplies,42.37783475662754,3,0.0,-35.61187467607805
36,CA-2026-100035,2024-02-05,Standard Class,Home Office,West,Technology,35.750358841059196,5,0.0,
37,CA-2026-100036,2024-02-06,Same Day,Consumer,West,Office Supplies,46.90402310998964,10,0.4,186.9069525826331
38,CA-2026-100037,2024-02-07,Standard Class,Corporate,East,Office Supplies,52.13978694296168,4,0.5,-74.25580057918764
39,CA-2026-100038,2024-02-08,Standard Class,Home Office,South,Technology,258.9429004381577,10,0.0,
40,CA-2026-100039,2024-02-09,First Class,Home Office,Central,Office Supplies,194.77511898430527,5,0.0,
41,CA-2026-100040,2024-02-10,First Class,Consumer,Central,Technology,193.75113702847918,5,0.0,152.54321090950785
42,CA-2026-100041,2024-02-11,First Class,Consumer,East,Office Supplies,446.54885673825976,6,0.0,
43,CA-2026-100042,2024-02-12,Second Class,Consumer,South,Technology,1190.053587243466,14,0.2,78.59042011646491
44,CA-2026-100043,2024-02-13,Same Day,Corporate,Central,Technology,433.71714808189483,10,0.2,-53.6770135947622
45,CA-2026-100044,2024-02-14,Same Day,Consumer,West,Office Supplies,301.76447916090916,12,0.0,
46,CA-2026-100045,2024-02-15,Same Day,Home Office,Central,Furniture,195.08507854952504,10,0.0,41.853404241094566
